park_id,name,address,city,state,zip_code,phone,url,map_url,map_google,alltrails,gps_lat,gps_long,police_1_id,police_2_id,medical_1_id,medical_2_id,drive_time,drive_miles,rating,comment
11,Pine Grove Furnace,1100 Pine Grove Road,Gardners,PA,17324,717-486-7174,http://www.dcnr.pa.gov/StateParks/FindAPark/PineGroveFurnaceStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/PineGroveFurnaceStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/Pine+Grove+Furnace+State+Park/@40.0327304,-77.2932641,15z/data=!4m2!3m1!1s0x0:0xff06e8ebff6f3fdb?sa=X&ved=0ahUKEwjJl9rtgKvaAhXo3YMKHWwmDrUQ_BIIxQEwCg",https://www.alltrails.com/parks/us/pennsylvania/pine-grove-furnace-state-park,40.031111,-77.306667,911,,911,UPMC Pinnacle Carlisle,2.3,130,,"This 696-acre park features Laurel Lake, Fuller Lake, hiking, biking & the Appalachian Trail Museum. Park is surrounded by Michaux State Forest. Recommended Visits: Pole Steeple Vista at sunset, Sunset Rocks, Tumbling Run, and the AT Museum."
12,Delaware Water Gap,1978 River Road ,Bushkill,PA,18324,570-426-2452,https://www.nps.gov/dewa/index.htm,https://www.nps.gov/dewa/planyourvisit/maps.htm,"https://www.google.com/maps/place/Delaware+Water+Gap+National+Recreation+Area/@41.1043946,-74.9442586,15z/data=!4m2!3m1!1s0x0:0xfd39a58f82825bf9?sa=X&ved=0ahUKEwiRh6_sk63aAhUsuVkKHYA2BQMQ_BIIsAEwCg",https://www.alltrails.com/parks/us/pennsylvania/delaware-water-gap-national-recreation-area,40.9675,-75.122222,,,,,2,100,,See also: https://www.nationalparks.org/explore-parks/delaware-water-gap-national-recreation-area
13,Worlds End,215 East Water St,Muncy,PA,17756,570-546-8282,http://www.dcnr.pa.gov/StateParks/FindAPark/WorldsEndStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/WorldsEndStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/Worlds+End+State+Park/@41.4666991,-76.5753685,15z/data=!4m2!3m1!1s0x0:0x8818f0f94e3c87cb?sa=X&ved=0ahUKEwiKlqye2K3aAhUhVd8KHXpDA-YQ_BII3QEwDw",https://www.alltrails.com/parks/us/pennsylvania/worlds-end-state-park,41.471389,-76.568611,911,,911,UPMC Susquehanna Muncy Valley Hospital,2.9,154,4,"Zack and I have been here a few times. I have a picture of him fly fishing here. Local restaurants: High Knobb Inn, Forksville General Store, Forksville Inn, Hillsgrove Hotel, The Barn Tavern. Crestmont inn Eaglesmere, really good meals, a little bit more higher end but worth it. Also, see < https://uncoveringpa.com/things-to-do-in-worlds-end-state-park >."
14,Rolling Hill Park,1301 Rose Glen Rd,Gladwyne,PA,19035,610-645-6220,http://www.lowermerion.org/services/parks-and-recreation-department/township-parks/rolling-hill-park,https://www.phillydayhiker.com/destinations/rolling-hill-park/,"https://www.google.com/maps/place/Rolling+Hill+Park/@40.0401988,-75.2662452,15z/data=!4m2!3m1!1s0x0:0xa5afcc74e72545?sa=X&ved=0ahUKEwi6mOW11q_aAhUi9YMKHf4gC_YQ_BIIlwEwCg",,,,911,,911,,0.5,6,,Head out on the blue trail that leads to Mill Creek where you'll find jaw dropping ruins that date back to the early 20th century. 
15,Money Rocks County Park,936 Narvon Rd,Narvon,PA,17555,717-299-8000,https://co.lancaster.pa.us/288/Money-Rocks-County-Park,https://co.lancaster.pa.us/DocumentCenter/Home/View/229,"https://www.google.com/maps/dir/39.9460422,-75.1969678/Money+Rocks+County+Park,+936+Narvon+Rd,+Narvon,+PA+17555/@40.0151498,-76.1414347,9z/data=!3m1!4b1!4m17!1m6!3m5!1s0x0:0x67b72ce25f918ef1!2sMoney+Rocks+County+Park!8m2!3d40.0952958!4d-75.9819015!4m9!1m1!4e1!1m5!1m1!1s0x89c6420579ac7689:0x67b72ce25f918ef1!2m2!1d-75.9819015!2d40.0952958!3e0",https://www.alltrails.com/trail/us/pennsylvania/money-rocks-red-trail,40.095362,-75.981934,911,,911,,1.1,57,,
16,Kelly's Run Nature Preserve,T397,Holtwood,PA,17532,717) 669-5990,https://www.lancasterconservancy.org/preserve/kellys-run-pinnacle/,https://www.lancasterconservancy.org/wp-content/uploads/2013/07/Kellys-Run-Pinnacle-1.pdf,"https://www.google.com/maps/place/Kelly's+Run+Nature+Preserve/@39.8407981,-76.3173044,15z/data=!4m2!3m1!1s0x0:0xbc4079e3ef5ed495?sa=X&ved=0ahUKEwj3wuCkhrPaAhWHON8KHWAOCtAQ_BIIqgEwCg",https://www.alltrails.com/trail/us/pennsylvania/kellys-run-loop-trail,,,911,,911,,1.7,70,,
17,Elk State Forest,258 Sizerville Road,Emporium,PA,15834,814-486-3353,http://www.dcnr.pa.gov/StateForests/FindAForest/Elk/Pages/default.aspx,http://www.dcnr.pa.gov/StateForests/FindAForest/Elk/Pages/Maps.aspx,"https://www.google.com/maps/dir/407+Wigard+Ave,+Philadelphia,+PA+19128,+USA/Elk+State+Forest,+Benezette+Township,+PA+15868/@40.7003408,-77.9438492,8z/data=!3m1!4b1!4m14!4m13!1m5!1m1!1s0x89c6b8d4002c73d1:0x2d5cbe20e70dfe61!2m2!1d-75.242097!2d40.044923!1m5!1m1!1s0x89cdcaa7a3871b71:0xee7e0e2c75614d8f!2m2!1d-78.2914009!2d41.3333946!3e0",,"41.333333, -78.291389",-78.291389,,,,,4.5,258,,Start this 16-mile backpack from the trailhead on PA 555 and tackle some of the country’s newest elk habitat. Go in October for bugling.
18,Pennypack Park,8500 Pine Road,Philadelphia,PA,19136,215-934-PARK ,https://www.friendsofpennypackpark.org/,https://static1.squarespace.com/static/59776b35a5790a44ceb72a6a/t/59c98ebc03596ef6938529b1/1506381503507/greenwaybrochure.pdf,"https://www.google.com/maps/place/Pennypack+Park/@40.0500184,-75.0297117,15z/data=!4m5!3m4!1s0x0:0xce867bf401f336a0!8m2!3d40.0500184!4d-75.0297117",,40.0577,-75.0234,911,,911,,0.6,14,,
19,Alapocas Run State Park,,Wilmington,DE,,,http://www.destateparks.com/activities/trails/locations/alapocas-run/index.asp,,,,,,,,,,,,,
20,Linn Run State Park,770 Linn Run Rd,Rector,PA,15677,724-238-6623,http://www.dcnr.pa.gov/StateParks/FindAPark/LinnRunStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/LinnRunStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/Linn+Run+State+Park/@40.1734675,-79.2360322,15z/data=!4m5!3m4!1s0x0:0x2710a8b537513aa7!8m2!3d40.1734675!4d-79.2360322",https://www.alltrails.com/parks/us/pennsylvania/linn-run-state-park,40.156389,-79.231111,911,,911,Excela Latrobe Hospital,4.3,243,,
21,Hickory Run State Park,3613 State Route 534,White Haven,PA,18661-9712,570-443-0400,http://www.dcnr.pa.gov/StateParks/FindAPark/HickoryRunStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/HickoryRunStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/Hickory+Run+State+Park/@41.0292873,-75.6766605,15z/data=!4m2!3m1!1s0x0:0xaa81a3e6eb01b888?sa=X&ved=0ahUKEwjymbCspMbaAhViw1kKHfZjDywQ_BII1AEwDg",https://www.alltrails.com/parks/us/pennsylvania/hickory-run-state-park,41.036111,-75.683889,911,,911,Lehigh Valley Hospital-Hazleton,1.5,79,4,Boulder field is a great feature. Want to check out 'Shades of Death' Trail. 
22,Moosic Mountain,"Lackawanna County, eight miles northeast from the city of Scranton, entrance off PA-247.",Scranton,PA,,,https://www.nature.org/ourinitiatives/regions/northamerica/unitedstates/pennsylvania/placesweprotect/moosic-mountain.xml,http://www.eastcoasthiker.com/wp-content/uploads/2016/03/moosic-bike-trails-34x34-final-lowres.pdf,"https://www.google.com/maps/place/The+Nature+Conservancy's+Dick+%26+Nancy+Eales+Preserve/@41.4475072,-75.5302749,15z/data=!4m2!3m1!1s0x0:0x7774713efaaef695?sa=X&ved=0ahUKEwi43_DAqcbaAhULr1kKHXlHBXcQ_BIIkgEwCg",,,,,,,,2.2,122,,Nature Conservancy Preserve is one of the best locations in the northeastern U.S. for heath barrens.
23,Green Lane Park,2144 Snyder Rd,Green Lane,PA,18054,215-234-4528,https://www.montcopa.org/871/Green-Lane-Park,https://www.montcopa.org/DocumentCenter/View/6445,"https://www.google.com/maps/place/Green+Lane+Park+-+Blue+Trail/@40.3570795,-75.5120624,17z/data=!3m1!4b1!4m5!3m4!1s0x89c69d5c80c9d19d:0xc8eaa4de40108123!8m2!3d40.3570754!4d-75.5098684",https://www.alltrails.com/trail/us/pennsylvania/green-lane-park-trail,,,911,,911,,1,30,,
24,Tucquan Glen Nature Preserve,State Rte 3017,Holtwood,PA,17532,717-392-7891,https://www.lancasterconservancy.org/preserve/tucquan-glen/,https://www.lancasterconservancy.org/wp-content/uploads/2013/07/Tucquan-Glen.pdf,https://www.lancasterconservancy.org/wp-content/uploads/2013/07/Tucquan-Glen.pdf,https://www.alltrails.com/trail/us/pennsylvania/tucquan-glen-loop-trail,39.864594,-76.339695,911,,,911,1.6,72,,
25,Bombay Hook National Wildlife Refuge,"Visitor Center, 2591 Whitehall Neck Road",Smyrna,DE,19977,302-653-9345,https://www.fws.gov/refuge/Bombay_Hook/,https://www.fws.gov/refuge/Bombay_Hook/map.html,"https://www.google.com/maps/place/Bombay+Hook+National+Wildlife+Refuge/@39.2583667,-75.4550812,15z/data=!4m5!3m4!1s0x0:0x314379e15fd4ecb9!8m2!3d39.2583667!4d-75.4550812",,39.259473,-75.474358,911,,911,,1.5,82,,
26,Gunpowder Falls State Park,7200 Graces Quarters Rd,Middle River,MD,21220,410-592-2897,http://dnr.maryland.gov/publiclands/Pages/central/gunpowder.aspx,http://dnr.maryland.gov/publiclands/Pages/central/gunpowder.aspx,"https://www.google.com/maps/place/Gunpowder+Falls+State+Park/@39.425937,-76.440488,15z/data=!4m2!3m1!1s0x0:0x68e5b9a6f4d913d1?hl=en-us&sa=X&ved=0ahUKEwifkIPr-9LaAhXyc98KHWRoCCQQ_BII0AEwDw",https://www.alltrails.com/parks/us/maryland/gunpowder-falls-state-park,39.3625,-76.3425,,,,,1.8,97,,Maps at bottom of park home page.
27,Lock Ridge Park and Furnace Museum,525 Franklin St,Alburtis,PA,18011,610-435-1074,https://www.lehighcounty.org/Departments/Parks-And-Recreation/Our-Parks/Lock-Ridge-Park,,"https://www.google.com/maps/place/Lock+Ridge+Park+and+Furnace+Museum/@40.508899,-75.5938577,15z/data=!4m2!3m1!1s0x0:0x14c37ac7fe66988b?sa=X&ved=0ahUKEwiW0YD1k9PaAhUMz1MKHQ_TC1kQ_BIIogEwCg",,40.50848,-75.593879,911,,911,Lehigh Valley Hospital,1.2,47,,
28,Leonard Harrison State Park,4797 Route 660,Wellsboro,PA,16901-8970 ,570-724-3061,http://www.dcnr.pa.gov/StateParks/FindAPark/LeonardHarrisonStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/LeonardHarrisonStatePark/Pages/Maps.aspx,Soldiers & Sailors Memorial Hospital,https://www.alltrails.com/parks/us/pennsylvania/leonard-harrison-state-park,41.696667,-77.454444,911,,911,Soldiers & Sailors Memorial Hospital,4,221,3,"East rim of the Grand Canyon of Pennsylvania, and across from park on west rim, Colton Point State Park."
29,Watkins Glen,1009 N Franklin St,Watkins Glen,NY,14891,607-535-4511,https://parks.ny.gov/parks/142/,https://parks.ny.gov/parks/142/details.aspx,"https://www.google.com/maps/place/Watkins+Glen+State+Park/@42.3670667,-76.9016911,15z/data=!4m2!3m1!1s0x0:0x7f234172786716de?sa=X&ved=0ahUKEwiCoOqC99raAhXOtlkKHSlvCLwQ_BII-wEwGA",https://www.alltrails.com/parks/us/new-york/watkins-glen-state-park,42.375896,-76.871078,,,,Maps are accessed from the home page.,,,,
30,Stokes State Forest,1 Coursen Rd,Branchville,NJ,7826,973-948-3820,http://www.state.nj.us/dep/parksandforests/parks/stokes.html,http://www.state.nj.us/dep/parksandforests/parks/docs/stokes_guide.pdf,"https://www.google.com/maps/place/1+Coursen+Rd,+Branchville,+NJ+07826/data=!4m2!3m1!1s0x89c367cb8f3566bb:0x6952341742f0cc97?sa=X&ved=0ahUKEwjatZ3vv9raAhUEhOAKHbD9D1kQ8gEIKDAA",,,,911,,911,,2.4,111,,
31,Seven Tubs Natural Area,900 Bear Creek Blvd,Wilkes-Barre,PA,18702,570-675-1312,http://www.onlyinyourstate.com/pennsylvania/paradise-pa/,,"https://www.google.com/maps/place/Seven+Tubs+Nature+Area/@41.2299598,-75.8214568,15z/data=!4m2!3m1!1s0x0:0xe470c07799ef05a3?sa=X&ved=0ahUKEwit3v6n-OnaAhWjwVkKHUxdCPAQ_BII3gEwEA",https://www.alltrails.com/trail/us/pennsylvania/seven-tubs-nature-area,41.235,-75.8139,911,,911,"
Wilkes-Barre General Hospital
",1.8,110,,"Map of trails not found, so use Alltrails map."
32,Swatara State Park,1450 Suedburg Road,Pine Grove,PA,17963,717-865-6470,http://www.dcnr.pa.gov/StateParks/FindAPark/SwataraStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/SwataraStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/Swatara+State+Park/@40.4932415,-76.5347098,15z/data=!4m2!3m1!1s0x0:0x8762c1d45056d5e1?sa=X&ved=0ahUKEwiskejOvPjaAhWttVkKHcKcAbQQ_BIIyAEwDg",https://www.alltrails.com/trail/us/pennsylvania/swatara-state-park,40.497222,-76.533056,911,,911,WellSpan Good Samaritan Hospital,1.8,97,,
33,State Game Lands No 211,,Halifax,PA,17032,717-787-4250,,http://www.pgc.pa.gov/HuntTrap/StateGameLands/Documents/SGL%20Maps/SGL__211.pdf,"https://www.google.com/maps/place/State+Game+Lands+No+211/@40.4744766,-76.6528225,15z/data=!4m2!3m1!1s0x0:0x17d00464251ccd60?sa=X&ved=0ahUKEwjw5uSfvvjaAhUMrlkKHRwnAyEQ_BIIpQEwEg",,,,,,,,2,100,,
34,Ralph Stover State Park,150 Tory Rd,Pipersville,PA,18947,610-982-5560,http://www.dcnr.pa.gov/StateParks/FindAPark/RalphStoverStatePark/Pages/default.aspx,http://www.dcnr.pa.gov/StateParks/FindAPark/RalphStoverStatePark/Pages/Maps.aspx,"https://www.google.com/maps/place/Ralph+Stover/@40.4339984,-75.0989121,15z/data=!4m5!3m4!1s0x0:0xb3897003c866a0d7!8m2!3d40.4339984!4d-75.0989121",https://hikingguy.com/hiking-trails/hiking-near-philadelphia/ralph-stover-state-park-high-rocks-hike/,40.43451,-75.09793,911,,911,Doylestown Hospital,1,36,,
35,Blue Marsh Lake National Recreation Area,1268 Palisades Drive,Leesport,PA,19533-9750,610-376-6337,http://www.nap.usace.army.mil/Missions/Civil-Works/Blue-Marsh-Lake/,http://www.nap.usace.army.mil/Portals/39/docs/Civil/Blue_Marsh/trail%20map.pdf,"https://www.google.com/maps/place/Blue+Marsh+Lake,+Pennsylvania/data=!4m2!3m1!1s0x89c6752f563af0ab:0xc3dca3abac605627?sa=X&ved=0ahUKEwjTwqjrnLjbAhXFzlkKHW1eDd4Q8gEI5gEwFQ",,"40.38, -76.031389",-76.031389,911,,911,Penn State Health St. Joseph Medical Center,1.25,66,,
